Drift,t_stamp,LossThresh_0.5,t_stamp.1,LossThresh_0.5.1,t_stamp.1.1,LossThresh_0.5.1.1,t_stamp,LossThresh_0.5
,460,0,460,0,460.0,0.0,460.0,0.0
,465,0,465,0,465.0,0.0,465.0,0.0
,470,0,470,0,470.0,0.0,470.0,0.0
,475,0,475,0,475.0,0.0,475.0,0.0
,480,0,480,0,480.0,0.0,480.0,0.0
,485,0,485,0,485.0,0.0,485.0,0.0
,490,0,490,0,490.0,0.0,490.0,0.0
,495,0,495,0,495.0,0.0,495.0,0.0
,500,0,500,0,500.0,0.0,500.0,0.0
,505,0,505,0,,,,
,510,0,510,0,,,,
,515,0,515,0,,,,
,520,0,520,0,,,,
,525,0,525,0,,,,
,530,0,530,0,,,,
,535,0,535,0,,,,
,540,0,540,0,,,,
,545,0,545,0,,,,
,550,0,550,0,,,,
,555,0,555,0,,,,
,560,0,560,0,,,,
,565,0,565,0,,,,
,570,0,570,0,,,,
,575,0,575,0,,,,
,580,0,580,0,,,,
,585,0,585,0,,,,
,590,0,590,0,,,,
,595,0,595,0,,,,
,600,0,600,0,,,,
,605,0,605,0,,,,
,610,0,610,0,,,,
,615,0,615,0,,,,
,620,0,620,0,,,,
,625,0,625,0,,,,
,630,0,630,0,,,,
,635,0,635,0,,,,
,640,0,640,0,,,,
,645,0,645,0,,,,
,650,0,650,0,,,,
,655,0,655,0,,,,
,660,0,660,0,,,,
,665,0,665,0,,,,
,670,0,670,1,,,,
,675,1,675,1,,,,
,680,1,680,1,,,,
,685,1,685,1,,,,
,690,1,690,1,,,,
,695,1,695,1,,,,
,700,1,700,1,,,,
,705,0,705,1,,,,
,710,0,710,1,,,,
,715,0,715,1,,,,
,720,0,720,1,,,,
,725,0,725,1,,,,
,730,0,730,1,,,,
,735,0,735,1,,,,
,740,0,740,1,,,,
,745,0,745,1,,,,
,750,0,750,1,,,,
,755,0,755,1,,,,
,760,0,760,1,,,,
,765,0,765,0,,,,
,770,0,770,0,,,,
,775,0,775,0,,,,
,780,0,780,0,,,,
,785,0,785,0,,,,
,790,0,790,0,,,,
,795,0,795,0,,,,
,800,0,800,0,,,,
,805,0,805,0,,,,
,810,0,810,0,,,,
,815,0,815,0,,,,
,820,0,820,0,,,,
,825,0,825,0,,,,
,830,0,830,0,,,,
,835,0,835,0,,,,
,840,0,840,0,,,,
,845,0,845,0,,,,
,850,0,850,0,,,,
,855,0,855,0,,,,
,860,0,860,0,,,,
,865,0,865,0,,,,
,870,0,870,0,,,,
,875,0,875,0,,,,
,880,0,880,0,,,,
,885,0,885,0,,,,
,890,0,890,0,,,,
,895,0,895,0,,,,
,900,0,900,0,,,,
,905,0,905,0,,,,
,910,0,910,0,,,,
,915,0,915,0,,,,
,920,0,920,0,,,,
,925,0,925,0,,,,
,930,0,930,0,,,,
,935,0,935,0,,,,
,940,0,940,0,,,,
,945,0,945,0,,,,
,950,0,950,0,,,,
,955,0,955,0,,,,
,960,0,960,0,,,,
,965,0,965,0,,,,
,970,0,970,0,,,,
,975,0,975,0,,,,
,980,0,980,0,,,,
,985,0,985,0,,,,
,990,0,990,0,,,,
,995,0,995,0,,,,
,1000,0,1000,0,,,,
